,Date,Receipt ID,Item,Department,Category,Fineline,Brand,Quantity,Total Sales,Price per Quantity,Customer Account,Gender,Age,Day
0,2008-07-27,298-01142,SOKO MAIZE MEAL 5KG,FLOUR,MAIZE FLOUR,STANDARD MAIZE FLOUR,SOKO,1.0,253.0,253,CD-966516,Female,18 -28,Sunday
1,2008-07-27,298-01204,BELLA WHITE T/PAPER 10PACK,PAPER + PLASTICS,TISSUE PAPERS,BLENDED,BELLA,1.0,199.0,199,CD-169085,Female,29 -39,Sunday
2,2008-07-26,298-01015,BELLA WHITE T/PAPER 4 PACK,PAPER + PLASTICS,TISSUE PAPERS,BLENDED,BELLA,3.0,207.0,69,CD-822352,Female,40 -50,Saturday
3,2008-07-27,298-01269,KENPOLY MUG 330,KITCHEN AND DINING,TABLEWARES,DRINKWARES,KENPOLY,1.0,32.0,32,CD-207673,Female,40 -50,Sunday
4,2008-07-21,298-00091,BELLA WHITE T/PAPER 4 PACK,PAPER + PLASTICS,TISSUE PAPERS,BLENDED,BELLA,2.0,138.0,69,CD-936825,Male,29 -39,Monday
5,2008-07-21,298-00112,EXE ALL PURPOSE FLOUR 2KG,FLOUR,WHEAT FLOUR,WHITE WHEAT FLOUR,EXE,1.0,136.0,136,CD-452634,Female,40 -50,Monday
6,2008-07-27,298-01203,TS MANDAZI 70G,TES BAKERY,TES MANDAZI,TES MANDAZI BITES,TS,6.0,60.0,10,CD-846731,Female,29 -39,Sunday
7,2008-07-25,298-00985,BLUE BAND MEDIUM FAT 500G,BREAKFAST,SPREADS,MARGARINE,BLUE,1.0,220.0,220,CD-769251,Male,29 -39,Friday
8,2008-07-27,298-01159,MANGOES APPLE (KG),FRUITS + VEG,FRUITS,LOCAL FRUITS,MANGOES,8.08080808,800.0,99,CD-283458,Female,29 -39,Sunday
9,2008-07-27,298-01324,TES NON WOOVEN PRINTED B/S,WRAPPING MATERIAL,POLYTHENE BAGS,POLYTHENE BAGS -1,TES,1.0,50.0,50,CD-095693,Male,18 -28,Sunday
10,2008-07-27,298-01263,NIVEA SMOOTH SENSATION TUB 400ML,BEAUTY,BODY CARE,SKIN LOTIONS,NIVEA,1.0,460.0,460,CD-336228,Female,40 -50,Sunday
11,2008-07-27,298-01288,TIL RED GLASS 200ML 25 S,PARTY,PARTY ACCESSORIES,DRINKWARES-PARTY,TIL,1.0,50.0,50,CD-084855,Female,18 -28,Sunday
12,2008-07-27,298-01356,KENYLON BEANS IN T/SAUCE 300GM,"CANNED , TINNED + PACKAGED FOOD",CANNED VEGETABLES,CANNED BEANS+PEAS,KENYLON,2.0,182.0,91,CD-254997,Male,51 -61,Sunday
13,2008-07-26,298-01037,SUPERFINE NEON PENCIL ASRTD/C HB,STATIONERY,SCHOOL STATIONERY,ART + CRAFT,SUPERFINE,3.0,51.0,17,CD-690239,Male,18 -28,Saturday
14,2008-07-26,298-01081,TERERE BUNCH,FRUITS + VEG,VEGETABLES,LEAFY GREENS,TERERE,2.0,60.0,30,CD-367110,Female,18 -28,Saturday
15,2008-07-21,298-00105,VIM POWDER LAVENDER FRESH 500G,HOME CLEANING,ALL PURPOSE CLEANERS,SCOURING POWDERS,VIM,2.0,170.0,85,CD-431135,Male,73 -83,Monday
